,country,year,region,happiness_rank,happiness_score,GDP_per_capita,Family,life_expectancy,Freedom,trust_in_government,Generosity,country_code,suicide_rate_100k,mental_disorder_rate_100k,continent
118,Slovakia,2015,Central and Eastern Europe,45,5.995,1.16891,1.26999,0.78902,0.31751,0.03431,0.16893,SVK,10.63764937,13528.35888,Europe
119,Slovenia,2015,Central and Eastern Europe,55,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,SVN,16.14121693,13851.92973,Europe
120,Somalia,2015,Sub-Saharan Africa,91,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,SOM,9.440284451,16471.81442,Africa
121,South Africa,2015,Sub-Saharan Africa,113,4.642,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,ZAF,13.90051828,15567.09284,Africa
122,South Korea,2015,Eastern Asia,47,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,KOR,25.34781012,14433.61851,Asia
123,Spain,2015,Western Europe,36,6.329,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,ESP,6.02493025,16776.61677,Europe
124,Sri Lanka,2015,Southern Asia,132,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,LKA,23.80054395,13115.70881,Asia
125,Sudan,2015,Sub-Saharan Africa,118,4.55,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,SDN,5.191276613,16518.35601,Africa
126,Suriname,2015,Latin America and Caribbean,40,6.269,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,SUR,25.352321,16296.36058,Americas
127,Swaziland,2015,Sub-Saharan Africa,101,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,SWZ,18.96119637,15903.62485,Africa
128,Sweden,2015,Western Europe,8,7.364,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,SWE,12.14505112,16602.53857,Europe
129,Switzerland,2015,Western Europe,1,7.587,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,CHE,11.75199828,15793.3501,Europe
130,Syria,2015,Middle East and Northern Africa,156,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,SYR,2.470883428,16016.79766,Asia
131,Taiwan,2015,Eastern Asia,38,6.298,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,TWN,13.58740808,13114.14504,Asia
132,Tajikistan,2015,Central and Eastern Europe,106,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,TJK,5.36553136,13205.83969,Asia
133,Tanzania,2015,Sub-Saharan Africa,146,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,TZA,11.37712779,15491.68528,Africa
134,Thailand,2015,Southeastern Asia,34,6.455,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,THA,10.93266578,13738.7562,Asia
135,Togo,2015,Sub-Saharan Africa,158,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,TGO,15.35541898,15137.80838,Africa
136,Tunisia,2015,Middle East and Northern Africa,107,4.739,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,TUN,3.757154492,16408.41512,Africa
137,Turkey,2015,Middle East and Northern Africa,76,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,TUR,3.350533911,15974.20489,Asia
138,Turkmenistan,2015,Central and Eastern Europe,70,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,TKM,8.365427346,13117.12954,Asia
139,Uganda,2015,Sub-Saharan Africa,141,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,UGA,21.07618185,16568.23507,Africa
140,UK,2015,Western Europe,21,6.867,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,GBR,7.913239433,16142.43716,Europe
141,Ukraine,2015,Central and Eastern Europe,111,4.681,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,UKR,19.99294161,16294.11695,Europe
142,United Arab Emirates,2015,Middle East and Northern Africa,20,6.901,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,ARE,3.904515407,14278.38266,Asia
143,Uruguay,2015,Latin America and Caribbean,32,6.485,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,URY,17.01276134,16421.66291,Americas
144,USA,2015,North America,15,7.119,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,USA,12.937543,19336.52466,Americas
145,Uzbekistan,2015,Central and Eastern Europe,44,6.003,0.63244,1.34043,0.59772,0.65821,0.30826,0.22837,UZB,10.87218309,13002.49583,Asia
146,Venezuela,2015,Latin America and Caribbean,23,6.81,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,VEN,9.398319777,12817.474,Americas
147,Vietnam,2015,Southeastern Asia,75,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,VNM,8.312511036,12359.61491,Asia
148,Yemen,2015,Middle East and Northern Africa,136,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,YEM,6.469971555,16583.28908,Asia
149,Zambia,2015,Sub-Saharan Africa,85,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,ZMB,17.67506528,15466.9184,Africa
150,Zimbabwe,2015,Sub-Saharan Africa,115,4.61,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,ZWE,27.75323288,15364.26634,Africa
